0108997743999992023010504004+40650-074067FM-13+007299999V0200601N005119999999N999999999+01061+99999100871ADDMD1810031+9999OD159900571999REMSYN068ROBN4 46/// /0610 10106 40087 58003 90400 333 91211 555 11009 22010=
0108997743999992023010505004+40650-074067FM-13+007299999V0200701N004119999999N999999999+01001+99999100921ADDMD1510001+9999OD159900411999REMSYN068ROBN4 46/// /0708 10100 40092 55000 90500 333 91208 555 11007 22008=
0108997743999992023010506004+40650-074067FM-13+007299999V0200601N004119999999N999999999+00911+99999100961ADDMD1310041+9999OD159900511999REMSYN068ROBN4 46/// /0608 10091 40096 53004 90600 333 91210 555 11008 22008=
0108997743999992023010507004+40650-074067FM-13+007299999V0200701N003119999999N999999999+00921+99999101021ADDMD1310151+9999OD159900411999REMSYN068ROBN4 46/// /0706 10092 40102 53015 90700 333 91208 555 11006 22006=
0108997743999992023010508004+40650-074067FM-13+007299999V0200601N003119999999N999999999+00911+99999101121ADDMD1310201+9999OD159900311999REMSYN068ROBN4 46/// /0606 10091 40112 53020 90800 333 91206 555 11006 22006=
0108997743999992023010509004+40650-074067FM-13+007299999V0200601N004119999999N999999999+00941+99999101161ADDMD1110201+9999OD159900621999REMSYN068ROBN4 46/// /0608 10094 40116 51020 90900 333 91212 555 11008 22008=
0108997743999992023010510004+40650-074067FM-13+007299999V0200901N001519999999N999999999+00881+99999101231ADDMD1110211+9999OD159900261999REMSYN068ROBN4 46/// /0903 10088 40123 51021 91000 333 91205 555 11002 22003=
0108997743999992023010511004+40650-074067FM-13+007299999V0203201N001019999999N999999999+00911+99999101281ADDMD1310161+9999OD159900101999REMSYN068ROBN4 46/// /3202 10091 40128 53016 91100 333 91202 555 11002 22002=
0108997743999992023010512004+40650-074067FM-13+007299999V0200501N003619999999N999999999+00931+99999101331ADDMD1110171+9999OD159900411999REMSYN068ROBN4 46/// /0507 10093 40133 51017 91200 333 91208 555 11006 22007=
0108997743999992023010513004+40650-074067FM-13+007299999V0200701N002119999999N999999999+00881+99999101381ADDMD1210151+9999OD159900361999REMSYN068ROBN4 46/// /0704 10088 40138 52015 91300 333 91207 555 11003 22004=
0108997743999992023010514004+40650-074067FM-13+007299999V0200801N002619999999N999999999+00911+99999101461ADDMD1310181+9999OD159900311999REMSYN068ROBN4 46/// /0805 10091 40146 53018 91400 333 91206 555 11004 22005=
